subject,phase,f0_Hz,T_period_s,taumax_sd,taumax_wrap_sd,taumax_wrap_mean,n_windows,ratio_wrap_to_raw
12,Post,0.078125,12.8,0.33434235999749196,0.33434235999749196,2.105712890625,512,1.0
13,Pre,0.10546875,9.481481481481481,8.801411449090681,0.85907670448802,2.8797155309606475,512,0.09760669745496055
13,Stim,0.10546875,9.481481481481481,4.708730838787296,0.390047335928692,2.2262062355324073,640,0.08283491864001856
13,Post,0.10546875,9.481481481481481,3.2013965783157428,1.0355052924052799,2.5995958116319446,512,0.32345423850926336
14,Pre,0.0703125,14.222222222222221,14.039782753756231,4.17162094340626,-2.515903049045138,512,0.2971285964015487
14,Stim,0.0703125,14.222222222222221,3.734922877036793,1.7653328554247292,3.045762803819444,640,0.47265577189784064
14,Post,0.0703125,14.222222222222221,4.8735342433596776,4.61290684631902,0.4410875108506943,512,0.9465218906801015
15,Pre,0.10546875,9.481481481481481,6.014721814472412,0.2925550326534448,2.248560022424768,512,0.04863982768903945
15,Stim,0.10546875,9.481481481481481,0.2816445891393873,0.2816445891393873,1.568115234375,640,1.0
15,Post,0.10546875,9.481481481481481,4.816929857790861,0.33411877413028324,1.7951569733796293,512,0.06936342940304237
16,Pre,0.0703125,14.222222222222221,14.544481960009302,3.7353041716012885,-1.7641805013020833,512,0.2568193340864029
16,Stim,0.0703125,14.222222222222221,14.901946164980663,5.122822825410493,0.5600640190972225,640,0.3437687110593008
16,Post,0.0703125,14.222222222222221,8.795983813105883,1.1873997912118004,1.4742974175347225,512,0.1349934034033342
17,Pre,0.0859375,11.636363636363637,15.83364240893647,2.804356708801964,0.665993430397728,512,0.17711380845756577
17,Stim,0.0859375,11.636363636363637,4.9390174083323135,0.9139059054003179,3.1156161221590915,640,0.18503800044489077
17,Post,0.0859375,11.636363636363637,3.6140588085253857,0.7183139044240079,2.1509510387073867,512,0.19875545542577808
18,Pre,0.07421875,13.473684210526315,19.235539322426366,4.117570521916996,2.432707134046053,512,0.21406057053551886
18,Stim,0.07421875,13.473684210526315,8.436007770202778,3.544840683197829,3.2404091282894734,640,0.42020358204490144
18,Post,0.07421875,13.473684210526315,11.699259109158014,1.8107129676632485,4.166169819078947,512,0.15477159286487194
