Metric,Type,dz_Stim_Pre,dz_Post_Pre,p_Stim_Pre,p_Post_Pre
HF_pct,D,0.4594905163326283,0.19069082704318088,0.12973785400390625,0.7660293579101562
HF_peak_freq,D,0.18620213508916525,0.0,0.9238478373253276,0.8868678487210623
DC,D,0.22120750157769262,0.08774357186357626,0.32472991943359375,0.7337265014648438
AC,D,-0.3319175227122865,-0.09719157329738344,0.22875213623046875,0.5798416137695312
DCmod,D,0.37492537419812094,-0.32793791131153555,0.28372955322265625,0.2121429443359375
ACmod,B,-0.6657347608983429,-0.07764846469178346,0.0138702392578125,0.49507904052734375
DispEn,D,-0.10071226692005691,-0.47261357367015777,0.7018814086914062,0.11870574951171875
MSE_CI,D,0.026178418505646044,0.052821881461342785,0.932281494140625,0.8985748291015625
LZC,D,0.1352061967968533,-0.09013730717073472,0.4171142578125,0.7660293579101562
beta_1f,D,0.17152380337191342,-0.16592362130606342,0.7018814086914062,0.550872802734375
RQA_REC,D,-0.05387464499914449,0.26781075024314455,0.7959872153886274,0.06837655952437323
RQA_DET,D,-0.0801075867634425,-0.13075875243238946,0.6790650431418295,0.6700661059135956
RQA_Lmean,D,-0.21788141399630512,-0.0013559169588286174,0.3103717042631059,0.8884679935803622
RQA_Lmax,D,-0.24908592015695702,0.11354928231653393,0.2617216438707577,0.41199789977371826
RQA_DIV,D,0.641712122463278,-0.6072349461148694,0.15625,0.15625
RQA_ShanEn,D,-0.11942024626473555,0.2540808510116584,0.553403856847181,0.32460611172618203
RQA_LAM,D,-0.23570226039551584,0.2364509861915606,0.31731050786291415,0.27332167829229814
RQA_TT,D,-0.23570226039551584,0.23872884273808925,0.31731050786291415,0.25683925795785656
Symb_0V,D,-0.1875196311545366,-0.12250503817902665,0.522613525390625,0.6396942138671875
Symb_1V,D,0.08072204551355336,0.02668111697995817,0.8985748291015625,1.0
Symb_2LV,D,0.2644728218953086,0.10154125368047702,0.522613525390625,0.550872802734375
Symb_2UV,D,0.18482805012483558,0.13933495523766645,0.522613525390625,0.7660293579101562
GI,D,-0.2680151953045174,-0.21517788968121918,0.34654998779296875,0.468292236328125
PI,D,0.1818917406714908,0.1603738707220269,0.39273834228515625,0.6396942138671875
EIR,D,0.2602559685009717,0.05432060267887841,0.6094589233398438,0.7987060546875
