Subject,Phase,n_beats,n_resampled,a1,a2,sigma2,zeta,omega_n,f_n,is_complex,radius,z1_abs,theta_rad,error,z1_real,z1_imag,z2_real,z2_imag
7,Post,348,1197,-1.9616856438235017,0.9872413077516045,0.1923080616423232,0.03999067550751967,0.10212577246836345,0.10212577246836345,True,0.9936001749957598,0.9936001749957598,0.16041878826439668,,0.9808428219117508,0.15870937734046442,0.9808428219117508,-0.15870937734046442
8,Pre,262,1197,-1.9703930603456432,0.9945745906955007,0.329094040270762,0.017450636188357883,0.09921698339673041,0.09921698339673041,True,0.9972836059494313,0.9972836059494313,0.15584967307525435,,0.9851965301728216,0.15479789285042947,0.9851965301728216,-0.15479789285042947
8,Stim,270,1191,-1.9694808039451601,0.9898941234838802,1.1943871258657555,0.0354255893972598,0.09120908628888441,0.09120908628888441,True,0.9949342307328057,0.9949342307328057,0.1432708977128984,,0.9847404019725798,0.14205796072998414,0.9847404019725798,-0.14205796072998414
8,Post,294,1196,-1.9698779798080497,0.9932160711923294,0.3171611360986987,0.022219413750100364,0.09749197596025658,0.09749197596025658,True,0.9966022632887852,0.9966022632887852,0.1531400377303474,,0.9849389899040246,0.15202387101757622,0.9849389899040246,-0.15202387101757622
9,Pre,311,1199,-1.9667468586300492,0.9896080718498319,0.12407598878177245,0.03442175253051383,0.09654332554420424,0.09654332554420424,True,0.9947904663042523,0.9947904663042523,0.15164990114139992,,0.9833734293150246,0.15028230224161537,0.9833734293150246,-0.15028230224161537
9,Stim,314,1196,-1.9693586322333374,0.9922021594636766,0.0837573677721651,0.02582238272156099,0.09646774559387858,0.09646774559387858,True,0.9960934491621136,0.9960934491621136,0.15153118043304903,,0.9846793161166684,0.15036224218761296,0.9846793161166684,-0.15036224218761296
9,Post,326,1199,-1.9693987096286176,0.9926764621558872,0.05723894597674287,0.024021178374807807,0.09737479930734061,0.09737479930734061,True,0.996331502139668,0.996331502139668,0.15295597707436087,,0.9846993548143088,0.1518013266877836,0.9846993548143088,-0.1518013266877836
10,Pre,394,1198,-1.9681616023738415,0.9919672680442115,0.038422304326116194,0.026057618584808102,0.09848755106979028,0.09848755106979028,True,0.995975535866324,0.995975535866324,0.15470388345545136,,0.9840808011869207,0.15346740624484267,0.9840808011869207,-0.15346740624484267
10,Stim,393,1197,-1.967142766767454,0.9905861867806364,0.029208663850214433,0.030783930228345628,0.09775478131888357,0.09775478131888357,True,0.9952819634559026,0.9952819634559026,0.15355285142234068,,0.9835713833837272,0.15222851431074882,0.9835713833837272,-0.15222851431074882
10,Post,394,1196,-1.9665356959657307,0.988843367326864,0.04395386386972139,0.03741848749522537,0.09537328739307192,0.09537328739307192,True,0.9944060374549544,0.9944060374549544,0.1498120095113914,,0.9832678479828654,0.14841733877821947,0.9832678479828654,-0.14841733877821947
11,Pre,311,1197,-1.9667056021074685,0.9891232168488779,0.06376621865528793,0.03638759611577324,0.09560534296268403,0.09560534296268403,True,0.9945467393988469,0.9945467393988469,0.15017652154775038,,0.9833528010537342,0.14879679266923962,0.9833528010537342,-0.14879679266923962
11,Stim,302,1196,-1.966813972925062,0.9893288719626601,0.047533294804386214,0.03562038909262157,0.0958106266130925,0.0958106266130925,True,0.994650125402224,0.994650125402224,0.15049898035176307,,0.983406986462531,0.14912937651362784,0.983406986462531,-0.14912937651362784
11,Post,304,1193,-1.9661686577383297,0.9893925720292107,0.13825843747609204,0.03486147782671672,0.09731145811849151,0.09731145811849151,True,0.9946821462302471,0.9946821462302471,0.1528564809675819,,0.9830843288691647,0.15145221807908432,0.9830843288691647,-0.15145221807908432
12,Pre,356,1197,-1.9744238904459894,0.9962919809193732,0.0254576516715939,0.012537544854227546,0.09430872742493354,0.09430872742493354,True,0.9981442685901538,0.9981442685901538,0.14813980262378673,,0.9872119452229946,0.14732466232238306,0.9872119452229946,-0.14732466232238306
12,Stim,358,1199,-1.9649302652384475,0.9883656809029259,0.056600751722689864,0.03807294782977706,0.09776835185169197,0.09776835185169197,True,0.994165821632853,0.994165821632853,0.15357416796542878,,0.9824651326192237,0.15207874305903782,0.9824651326192237,-0.15207874305903782
12,Post,365,1195,-1.9669145648922512,0.9889430297170204,0.06805028372010291,0.03731800681511122,0.09477140927988136,0.09477140927988136,True,0.9944561477094005,0.9944561477094005,0.1488665815820134,,0.9834572824461258,0.14749509592085402,0.9834572824461258,-0.14749509592085402
13,Pre,473,1199,-1.9640581460976323,0.9884289002816468,0.06886790105383038,0.037130260638305525,0.09970616657334927,0.09970616657334927,True,0.9941976163125953,0.9941976163125953,0.15661808021221713,,0.9820290730488161,0.15507353084433706,0.9820290730488161,-0.15507353084433706
13,Stim,468,1196,-1.9697267874530247,0.9923428116640888,0.10016621716902895,0.025483176010697675,0.09598268834698065,0.09598268834698065,True,0.9961640485703592,0.9961640485703592,0.15076925429133653,,0.9848633937265124,0.14962254964271068,0.9848633937265124,-0.14962254964271068
13,Post,473,1197,-1.9653376020101034,0.9895733264186334,0.09942876405154193,0.03354153552959423,0.09941285592414217,0.09941285592414217,True,0.9947730024576629,0.9947730024576629,0.1561573489218328,,0.9826688010050517,0.15471054892904862,0.9826688010050517,-0.15471054892904862
14,Pre,310,1196,-1.9644952136626905,0.9889944790795514,0.23121441777180315,0.035217433727596864,0.09996187355594187,0.09996187355594187,True,0.994482015463101,0.994482015463101,0.1570197438012094,,0.9822476068313453,0.15551243665265585,0.9822476068313453,-0.15551243665265585
14,Stim,323,1197,-1.97252182430206,0.9968148746068926,0.05436634006023297,0.010215520748513455,0.09939992355854733,0.09939992355854733,True,0.9984061671518725,0.9984061671518725,0.15613703480945965,,0.9862609121510301,0.15525555632540422,0.9862609121510301,-0.15525555632540422
14,Post,327,1193,-1.9707217129691474,0.9934942473749684,0.09099440954057114,0.021570283074434527,0.0962957947760652,0.0962957947760652,True,0.996741815805361,0.996741815805361,0.1512610807200384,,0.9853608564845736,0.15019397418989805,0.9853608564845736,-0.15019397418989805
15,Pre,370,1194,-1.966010702067533,0.9888783720338898,0.8863229774242617,0.036840333814546065,0.09656646122692213,0.09656646122692213,True,0.9944236381109861,0.9944236381109861,0.15168624258683108,,0.9830053510337664,0.15026260969672856,0.9830053510337664,-0.15026260969672856
