Metric,Comparison,n,mean_a,mean_b,mean_diff,p_ttest,p_wilcoxon,dz,p_fdr
DC,Post-Pre,18,10.759150680676461,11.458159046401509,-0.6990083657250479,0.2428664516490253,0.22875213623046875,-0.2851804702382462,0.8627223423549107
DC,Post-Stim,18,10.759150680676461,12.870690381931043,-2.1115397012545825,0.018741966504679602,0.02684783935546875,-0.6124487910611985,0.39376831054687506
AC,Stim-Pre,18,-12.374278703476351,-11.413191309547877,-0.9610873939284738,0.15568134992155855,0.4171142578125,-0.35017025352305775,0.8825080968156646
AC,Post-Pre,18,-11.101152896922265,-11.413191309547877,0.3120384126256128,0.5767067385044896,0.7018814086914062,0.13414670556559843,0.9736978499615779
AC,Post-Stim,18,-11.101152896922265,-12.374278703476351,1.2731258065540867,0.14942542092850267,0.32472991943359375,0.35589258940291024,0.8825080968156646
DC_AC_ratio,Stim-Pre,18,-1.0468353860252246,-1.0071894119245048,-0.039645974100719635,0.18464571877512193,0.18146514892578125,-0.32591042945213133,0.8259792985587284
DC_AC_ratio,Post-Pre,18,-0.9379599643031459,-1.0071894119245048,0.06922944762135885,0.2638502312925281,0.4171142578125,0.2723648344682456,0.8825080968156646
DC_AC_ratio,Post-Stim,18,-0.9379599643031459,-1.0468353860252246,0.10887542172207848,0.08980656042748318,0.0897674560546875,0.42401296288087437,0.5873674665178572
SGC_SBP_to_RRI_total,Stim-Pre,18,0.4892314957292397,0.3923737135999945,0.09685778212924517,0.2880474274495632,0.7337265014648438,0.2585046343644266,0.9736978499615779
SGC_SBP_to_RRI_total,Post-Pre,18,0.34841402925387815,0.3923737135999945,-0.04395968434611641,0.16234476583302437,0.1083831787109375,-0.34428065765054605,0.5961074829101562
SGC_SBP_to_RRI_total,Post-Stim,18,0.34841402925387815,0.4892314957292397,-0.14081746647536159,0.13562641246406276,0.14151763916015625,-0.3692571296584361,0.691864013671875
SGC_RRI_to_SBP_total,Stim-Pre,18,0.7695391913890366,0.6696603567200993,0.09987883466893747,0.21890531244540143,0.39273834228515625,0.30089896972852137,0.8825080968156646
SGC_RRI_to_SBP_total,Post-Pre,18,0.6689267737890008,0.6696603567200993,-0.0007335829310984372,0.9853265761766283,0.8650436401367188,-0.004399110379920812,0.9736978499615779
SGC_RRI_to_SBP_total,Post-Stim,18,0.6689267737890008,0.7695391913890366,-0.1006124176000359,0.23813209276629663,0.49507904052734375,-0.2881880193231124,0.8825080968156646
SGC_SBP_to_RRI_VLF,Stim-Pre,18,0.014374421766756471,0.013880560840046512,0.0004938609267099574,0.8574593898331166,0.932281494140625,0.04298198390931562,1.0
SGC_SBP_to_RRI_VLF,Post-Pre,18,0.013592695376704874,0.013880560840046512,-0.0002878654633416382,0.855562506908353,0.6396942138671875,-0.04356086424231033,0.9705705313846983
SGC_SBP_to_RRI_VLF,Post-Stim,18,0.013592695376704874,0.014374421766756471,-0.0007817263900515949,0.8169887657804278,0.7660293579101562,-0.05539845336717592,0.9736978499615779
SGC_SBP_to_RRI_LF,Stim-Pre,18,0.02879232369281399,0.022647590463032715,0.006144733229781266,0.09970696270871203,0.24620819091796875,0.41041350706381713,0.8783643567884292
SGC_SBP_to_RRI_LF,Post-Pre,18,0.029791033627806027,0.022647590463032715,0.007143443164773313,0.011896151968794323,0.01593017578125,0.6637523080076654,0.39376831054687506
SGC_SBP_to_RRI_LF,Post-Stim,18,0.029791033627806027,0.02879232369281399,0.0009987099349920456,0.7983497359832958,0.7337265014648438,0.061169761811997535,0.9736978499615779
SGC_SBP_to_RRI_Mayer,Stim-Pre,18,0.00794458943629494,0.006111887481209114,0.001832701955085824,0.14568693900051408,0.49507904052734375,0.35940793287135714,0.8825080968156646
SGC_SBP_to_RRI_Mayer,Post-Pre,18,0.008584187235129565,0.006111887481209114,0.002472299753920451,0.018419070004581865,0.030364990234375,0.6144288041804108,0.40081787109375
SGC_SBP_to_RRI_Mayer,Post-Stim,18,0.008584187235129565,0.00794458943629494,0.0006395977988346276,0.6773274821948703,0.44229888916015625,0.09979111615769931,0.8825080968156646
SGC_SBP_to_RRI_HF,Stim-Pre,18,0.07963427016654569,0.07717324475046151,0.0024610254160841736,0.7637653653714724,0.8985748291015625,0.07198470879627235,0.9736978499615779
SGC_SBP_to_RRI_HF,Post-Pre,18,0.06111356453545399,0.07717324475046151,-0.016059680215007525,0.05096205354751053,0.0599365234375,-0.4949694748230545,0.5873674665178572
SGC_SBP_to_RRI_HF,Post-Stim,18,0.06111356453545399,0.07963427016654569,-0.018520705631091698,0.05248257140717507,0.08142852783203125,-0.49138475324537073,0.5873674665178572
SGC_RRI_to_SBP_VLF,Stim-Pre,18,0.00844151116064304,0.008607105522344163,-0.00016559436170112175,0.9436844327173165,1.0,-0.01689775025243886,1.0
SGC_RRI_to_SBP_VLF,Post-Pre,18,0.010673493524092387,0.008607105522344163,0.0020663880017482237,0.4337460971414713,0.32472991943359375,0.1889810428904867,0.8825080968156646
SGC_RRI_to_SBP_VLF,Post-Stim,18,0.010673493524092387,0.00844151116064304,0.0022319823634493466,0.13817546870186567,0.2645263671875,0.3667051172678506,0.8825080968156646
SGC_RRI_to_SBP_LF,Stim-Pre,18,0.07111682525234893,0.07490367416584646,-0.003786848913497537,0.6885084956052545,0.7660293579101562,-0.09611996761551657,0.9736978499615779
SGC_RRI_to_SBP_LF,Post-Pre,18,0.06912913336333643,0.07490367416584646,-0.00577454080251003,0.4922690106585147,0.522613525390625,-0.16542826038877706,0.8825080968156646
SGC_RRI_to_SBP_LF,Post-Stim,18,0.06912913336333643,0.07111682525234893,-0.001987691889012493,0.8351694351075145,0.9661178588867188,-0.04980267319018388,1.0
SGC_RRI_to_SBP_Mayer,Stim-Pre,18,0.02422855372358737,0.027471183109031513,-0.003242629385444141,0.32909696113755005,0.39273834228515625,-0.23682605892968608,0.8825080968156646
SGC_RRI_to_SBP_Mayer,Post-Pre,18,0.024274941670007225,0.027471183109031513,-0.0031962414390242855,0.2897197602067707,0.3692169189453125,-0.25757904557874506,0.8825080968156646
SGC_RRI_to_SBP_Mayer,Post-Stim,18,0.024274941670007225,0.02422855372358737,4.6387946419854834e-05,0.9895415631597088,1.0,0.003135357308243968,1.0
SGC_RRI_to_SBP_HF,Stim-Pre,18,0.19543308660906422,0.17533812679821809,0.020094959810846073,0.2803162339775861,0.49507904052734375,0.2628358242815931,0.8825080968156646
SGC_RRI_to_SBP_HF,Post-Pre,18,0.16780680148847973,0.17533812679821809,-0.007531325309738373,0.5477979129743793,0.5798416137695312,-0.14455572650136453,0.933403573385099
SGC_RRI_to_SBP_HF,Post-Stim,18,0.16780680148847973,0.19543308660906422,-0.027626285120584446,0.18007259418356353,0.34654998779296875,-0.3295244168622422,0.8825080968156646
sigma2_SBP,Stim-Pre,18,0.00027592637654532505,0.0002978385558430245,-2.1912179297699493e-05,0.6117065373719615,0.8985748291015625,-0.12189622735052248,0.9736978499615779
sigma2_SBP,Post-Pre,18,0.00027245392521251714,0.0002978385558430245,-2.5384630630507402e-05,0.38080219357996625,0.7660293579101562,-0.212082189181737,0.9736978499615779
sigma2_SBP,Post-Stim,18,0.00027245392521251714,0.00027592637654532505,-3.472451332807908e-06,0.9328417152593528,0.8650436401367188,-0.02015888684543107,0.9736978499615779
sigma2_RRI,Stim-Pre,18,0.0008406963287465735,0.0009921458344999184,-0.000151449505753345,0.10657052965387176,0.34654998779296875,-0.40165961328946603,0.8825080968156646
sigma2_RRI,Post-Pre,18,0.0010535301660554823,0.0009921458344999184,6.138433155556372e-05,0.729160892576657,1.0,0.08296815485174959,1.0
sigma2_RRI,Post-Stim,18,0.0010535301660554823,0.0008406963287465735,0.0002128338373089087,0.16349516158304314,0.34654998779296875,0.34328408877971023,0.8825080968156646
rho_u,Stim-Pre,18,0.2910410031042718,0.31502871986615766,-0.02398771676188591,0.4575546595163722,0.16735076904296875,-0.17917870481565412,0.7889393397739956
rho_u,Post-Pre,18,0.2210318025575676,0.31502871986615766,-0.09399691730859,0.021007900324189647,0.0028076171875,-0.5994033929521819,0.11077880859375
rho_u,Post-Stim,18,0.2210318025575676,0.2910410031042718,-0.07000920054670409,0.25577330468791404,0.39273834228515625,-0.2772029232444321,0.8825080968156646
det_Sigma,Stim-Pre,18,6.849185446932033e-07,9.971250536505165e-07,-3.1220650895731314e-07,0.29120409474850406,0.6396942138671875,-0.25676078786442247,0.9705705313846983
det_Sigma,Post-Pre,18,8.039839114383479e-07,9.971250536505165e-07,-1.931411422121685e-07,0.25287514547736956,0.8985748291015625,-0.2789670950597708,0.9736978499615779
det_Sigma,Post-Stim,18,8.039839114383479e-07,6.849185446932033e-07,1.1906536674514467e-07,0.4037679274142445,0.4171142578125,0.2018200000178873,0.8825080968156646
innov_RRI_own_frac_Mayer,Stim-Pre,18,0.8112150227742035,0.8456332785974684,-0.0344182558232647,0.20591460448641935,0.468292236328125,-0.3099903842194729,0.8825080968156646
innov_RRI_own_frac_Mayer,Post-Pre,18,0.7865939109795521,0.8456332785974684,-0.05903936761791628,0.015934313786393414,0.02367401123046875,-0.6308777176004258,0.39376831054687506
innov_RRI_own_frac_Mayer,Post-Stim,18,0.7865939109795521,0.8112150227742035,-0.02462111179465158,0.4278971126832869,0.4171142578125,-0.1914404185444279,0.8825080968156646
innov_RRI_from_SBP_frac_Mayer,Stim-Pre,18,0.18878497722579632,0.1543667214025316,0.034418255823264694,0.2059146044864195,0.468292236328125,0.3099903842194727,0.8825080968156646
innov_RRI_from_SBP_frac_Mayer,Post-Pre,18,0.21340608902044797,0.1543667214025316,0.05903936761791633,0.015934313786393258,0.02367401123046875,0.6308777176004268,0.39376831054687506
innov_RRI_from_SBP_frac_Mayer,Post-Stim,18,0.21340608902044797,0.18878497722579632,0.024621111794651648,0.42789711268328556,0.4171142578125,0.19144041854442842,0.8825080968156646
Snn_RRI_Mayer,Stim-Pre,18,0.1875062502586431,0.23048536923752186,-0.04297911897887877,0.20729718603714722,0.2121429443359375,-0.309001644013736,0.84857177734375
Snn_RRI_Mayer,Post-Pre,18,0.1955709411297838,0.23048536923752186,-0.034914428107738066,0.26665891193028174,0.3692169189453125,-0.27070857251106567,0.8825080968156646
Snn_RRI_Mayer,Post-Stim,18,0.1955709411297838,0.1875062502586431,0.008064690871140718,0.7858736362037492,0.7660293579101562,0.06505430617410385,0.9736978499615779
PTT_mean,Stim-Pre,16,308.93577496975206,308.85291140463664,0.08286356511544835,0.9149644211917944,0.979949951171875,0.02714832405452205,1.0
PTT_mean,Post-Pre,16,309.087979669164,308.85291140463664,0.23506826452731833,0.8449599044014422,0.899932861328125,0.04974190426720772,0.9736978499615779
PTT_mean,Post-Stim,16,309.087979669164,308.93577496975206,0.15220469941186998,0.9035914473878578,0.860260009765625,0.0307977157328117,0.9736978499615779
GC3_F_SBP_to_RRI,Stim-Pre,16,5.483335628365608,4.217527449374175,1.265808178991433,0.10082930722800376,0.0443115234375,0.4370933058640312,0.53173828125
GC3_F_SBP_to_RRI,Post-Pre,16,4.196986520367871,4.217527449374175,-0.020540929006303665,0.9775556281894339,0.781951904296875,-0.007151604455627245,0.9736978499615779
GC3_F_SBP_to_RRI,Post-Stim,16,4.196986520367871,5.483335628365608,-1.286349107997737,0.08764176630584533,0.104583740234375,-0.4567845998105336,0.5961074829101562
GC3_F_RRI_to_SBP,Stim-Pre,16,18.585070871741138,15.474958172494956,3.110112699246181,0.05160988679261055,0.07391357421875,0.5286660074108978,0.5873674665178572
GC3_F_RRI_to_SBP,Post-Pre,16,17.802681864380382,15.474958172494956,2.3277236918854274,0.14081970862137747,0.21142578125,0.38871747756258757,0.84857177734375
GC3_F_RRI_to_SBP,Post-Stim,16,17.802681864380382,18.585070871741138,-0.782389007360754,0.496638886169522,0.4637451171875,-0.1741780551805537,0.8825080968156646
GC3_F_PTT_to_SBP,Stim-Pre,16,3.0245140471265044,3.0154867637495952,0.0090272833769093,0.9703687647179939,0.705718994140625,0.009442625015387505,0.9736978499615779
GC3_F_PTT_to_SBP,Post-Pre,16,3.4801929337930573,3.0154867637495952,0.4647061700434619,0.40886016773340184,0.860260009765625,0.2124200799957349,0.9736978499615779
GC3_F_PTT_to_SBP,Post-Stim,16,3.4801929337930573,3.0245140471265044,0.45567888666655254,0.3628917220220198,0.820892333984375,0.23460638771427386,0.9736978499615779
GC3_F_SBP_to_PTT,Stim-Pre,16,3.9235430678971155,3.8283539238863216,0.09518914401079376,0.8783745443979999,0.596588134765625,0.03891562622163729,0.9487907685429217
GC3_F_SBP_to_PTT,Post-Pre,16,3.8145308124161694,3.8283539238863216,-0.013823111470151916,0.9835197716905935,0.820892333984375,-0.005250856352308471,0.9736978499615779
GC3_F_SBP_to_PTT,Post-Stim,16,3.8145308124161694,3.9235430678971155,-0.10901225548094567,0.8239872304289089,0.528167724609375,-0.05658668095347328,0.8825080968156646
GC3_F_RRI_to_PTT,Stim-Pre,16,9.809512701125355,7.994565841565691,1.8149468595596647,0.00386793026896415,0.00335693359375,0.8527978721599405,0.11077880859375
GC3_F_RRI_to_PTT,Post-Pre,16,11.339775021895022,7.994565841565691,3.3452091803293307,0.194016586890089,0.083251953125,0.3399228803009486,0.5873674665178572
GC3_F_RRI_to_PTT,Post-Stim,16,11.339775021895022,9.809512701125355,1.5302623207696664,0.5716399603729292,0.781951904296875,0.1445760074703553,0.9736978499615779
GC3_F_PTT_to_RRI,Stim-Pre,16,2.9483519840905434,3.164151575979391,-0.2157995918888478,0.46916701101816694,0.40374755859375,-0.18566168076608672,0.8825080968156646
GC3_F_PTT_to_RRI,Post-Pre,16,4.336926131301925,3.164151575979391,1.1727745553225335,0.1950001640630294,0.528167724609375,0.33913044011879545,0.8825080968156646
GC3_F_PTT_to_RRI,Post-Stim,16,4.336926131301925,2.9483519840905434,1.388574147211381,0.1921030581122347,0.083251953125,0.3414739165985307,0.5873674665178572
PDC_SBP_to_RRI_Mayer,Stim-Pre,16,0.2161876768982643,0.17706951181745526,0.03911816508080905,0.3775572196806488,0.40374755859375,0.22733174449215351,0.8825080968156646
PDC_SBP_to_RRI_Mayer,Post-Pre,16,0.2001505468125726,0.17706951181745526,0.023081034995117333,0.618329766153633,0.375457763671875,0.12718695400137586,0.8825080968156646
PDC_SBP_to_RRI_Mayer,Post-Stim,16,0.2001505468125726,0.2161876768982643,-0.016037130085691714,0.5360559603470223,0.860260009765625,-0.1583324454642892,0.9736978499615779
PDC_RRI_to_SBP_Mayer,Stim-Pre,16,0.12081468302165228,0.1582529730900762,-0.03743829006842393,0.09191682913134332,0.116668701171875,-0.45012994903889425,0.6119948167067308
PDC_RRI_to_SBP_Mayer,Post-Pre,16,0.12128795215062049,0.1582529730900762,-0.03696502093945573,0.20933569426109214,0.274444580078125,-0.3279309911220545,0.8825080968156646
PDC_RRI_to_SBP_Mayer,Post-Stim,16,0.12128795215062049,0.12081468302165228,0.000473269128968206,0.9825061755869336,0.860260009765625,0.005573859221092048,0.9736978499615779
PDC_PTT_to_SBP_Mayer,Stim-Pre,16,0.022467438640800558,0.029004001296048916,-0.006536562655248358,0.46712024863764734,0.860260009765625,-0.18653331255154043,0.9736978499615779
