time_s,raw,expanding_mean,rm_90s
137.343750,-0.584128,-0.754824,-0.754824
137.812500,-0.579197,-0.753773,-0.753773
138.281250,-0.574267,-0.752704,-0.752704
138.750000,-0.569338,-0.751619,-0.751619
139.218750,-0.564408,-0.750518,-0.750518
139.687500,-0.559478,-0.749401,-0.749401
140.156250,-0.554546,-0.748268,-0.748268
140.625000,-0.549611,-0.747120,-0.747120
141.093750,-0.544672,-0.745956,-0.745956
141.562500,-0.539727,-0.744778,-0.744778
142.031250,-0.534774,-0.743584,-0.743584
142.500000,-0.529812,-0.742377,-0.742377
142.968750,-0.524840,-0.741155,-0.741155
143.437500,-0.519856,-0.739918,-0.739918
143.906250,-0.514857,-0.738668,-0.738668
144.375000,-0.509843,-0.737404,-0.737404
144.843750,-0.504810,-0.736126,-0.736126
145.312500,-0.499757,-0.734834,-0.734834
145.781250,-0.494683,-0.733529,-0.733529
146.250000,-0.489584,-0.732210,-0.732210
146.718750,-0.484459,-0.730878,-0.730878
147.187500,-0.479306,-0.729533,-0.729533
147.656250,-0.474123,-0.728174,-0.728174
148.125000,-0.468907,-0.726803,-0.726803
148.593750,-0.463658,-0.725418,-0.725418
149.062500,-0.458373,-0.724020,-0.724020
149.531250,-0.453050,-0.722608,-0.722608
150.000000,-0.447688,-0.721184,-0.721656
150.468750,-0.442285,-0.719746,-0.720657
150.937500,-0.436840,-0.718295,-0.719609
151.406250,-0.431351,-0.716831,-0.718511
151.875000,-0.425818,-0.715354,-0.717363
152.343750,-0.420240,-0.713864,-0.716164
152.812500,-0.414616,-0.712360,-0.714912
153.281250,-0.408945,-0.710843,-0.713607
153.750000,-0.403227,-0.709312,-0.712249
154.218750,-0.397463,-0.707769,-0.710836
154.687500,-0.391652,-0.706211,-0.709368
155.156250,-0.385795,-0.704641,-0.707845
155.625000,-0.379894,-0.703057,-0.706265
156.093750,-0.373949,-0.701459,-0.704629
156.562500,-0.367962,-0.699848,-0.702937
157.031250,-0.361934,-0.698223,-0.701188
157.500000,-0.355868,-0.696585,-0.699383
157.968750,-0.349765,-0.694934,-0.697520
158.437500,-0.343630,-0.693269,-0.695601
158.906250,-0.337465,-0.691590,-0.693625
159.375000,-0.331272,-0.689899,-0.691592
159.843750,-0.325057,-0.688194,-0.689504
160.312500,-0.318822,-0.686476,-0.687360
160.781250,-0.312573,-0.684745,-0.685160
161.250000,-0.306313,-0.683001,-0.682905
161.718750,-0.300048,-0.681244,-0.680597
162.187500,-0.293782,-0.679475,-0.678234
162.656250,-0.287520,-0.677693,-0.675818
163.125000,-0.281268,-0.675900,-0.673350
163.593750,-0.275032,-0.674094,-0.670831
164.062500,-0.268816,-0.672277,-0.668260
164.531250,-0.262627,-0.670448,-0.665639
165.000000,-0.256470,-0.668608,-0.662970
165.468750,-0.250352,-0.666757,-0.660252
165.937500,-0.244278,-0.664896,-0.657486
166.406250,-0.238253,-0.663025,-0.654674
166.875000,-0.232285,-0.661144,-0.651817
167.343750,-0.226377,-0.659254,-0.648915
167.812500,-0.220537,-0.657354,-0.645969
168.281250,-0.214769,-0.655447,-0.642981
168.750000,-0.209079,-0.653531,-0.639952
169.218750,-0.203472,-0.651608,-0.636882
169.687500,-0.197952,-0.649677,-0.633773
170.156250,-0.192525,-0.647740,-0.630625
170.625000,-0.187196,-0.645797,-0.627440
171.093750,-0.181967,-0.643848,-0.624219
171.562500,-0.176844,-0.641894,-0.620963
172.031250,-0.171830,-0.639935,-0.617672
172.500000,-0.166928,-0.637973,-0.614349
172.968750,-0.162142,-0.636006,-0.610993
173.437500,-0.157474,-0.634037,-0.607607
173.906250,-0.152927,-0.632065,-0.604190
174.375000,-0.148504,-0.630092,-0.600745
174.843750,-0.144205,-0.628117,-0.597272
175.312500,-0.140033,-0.626141,-0.593772
175.781250,-0.135989,-0.624164,-0.590246
176.250000,-0.132074,-0.622188,-0.586695
176.718750,-0.128289,-0.620212,-0.583120
177.187500,-0.124634,-0.618238,-0.579522
177.656250,-0.121110,-0.616265,-0.575902
178.125000,-0.117716,-0.614295,-0.572261
178.593750,-0.114452,-0.612327,-0.568600
179.062500,-0.111318,-0.610362,-0.564920
179.531250,-0.108312,-0.608401,-0.561221
180.000000,-0.105435,-0.606444,-0.557505
180.468750,-0.102686,-0.604491,-0.553772
180.937500,-0.100062,-0.602544,-0.550023
181.406250,-0.097563,-0.600601,-0.546260
181.875000,-0.095187,-0.598665,-0.542482
182.343750,-0.092933,-0.596735,-0.538691
182.812500,-0.090799,-0.594811,-0.534888
183.281250,-0.088784,-0.592894,-0.531072
183.750000,-0.086886,-0.590985,-0.527246
184.218750,-0.085105,-0.589083,-0.523410
184.687500,-0.083439,-0.587189,-0.519563
185.156250,-0.081885,-0.585304,-0.515709
185.625000,-0.080445,-0.583427,-0.511846
186.093750,-0.079115,-0.581559,-0.507975
186.562500,-0.077896,-0.579700,-0.504098
187.031250,-0.076788,-0.577851,-0.500216
187.500000,-0.075789,-0.576012,-0.496327
187.968750,-0.074900,-0.574184,-0.492435
188.437500,-0.074122,-0.572365,-0.488539
188.906250,-0.073456,-0.570558,-0.484639
189.375000,-0.072902,-0.568761,-0.480738
189.843750,-0.072463,-0.566976,-0.476835
190.312500,-0.072141,-0.565202,-0.472931
190.781250,-0.071937,-0.563440,-0.469027
191.250000,-0.071856,-0.561691,-0.465124
191.718750,-0.071902,-0.559954,-0.461223
192.187500,-0.072078,-0.558230,-0.457324
192.656250,-0.072389,-0.556520,-0.453429
193.125000,-0.072842,-0.554822,-0.449539
193.593750,-0.073442,-0.553139,-0.445654
194.062500,-0.074196,-0.551470,-0.441775
194.531250,-0.075111,-0.549816,-0.437905
195.000000,-0.076195,-0.548178,-0.434042
195.468750,-0.077457,-0.546554,-0.430190
195.937500,-0.078905,-0.544947,-0.426350
196.406250,-0.080549,-0.543357,-0.422522
196.875000,-0.082399,-0.541784,-0.418707
197.343750,-0.084464,-0.540228,-0.414909
197.812500,-0.086756,-0.538691,-0.411127
198.281250,-0.089283,-0.537173,-0.407364
198.750000,-0.092057,-0.535674,-0.403622
199.218750,-0.095089,-0.534196,-0.399901
199.687500,-0.098388,-0.532738,-0.396205
200.156250,-0.101964,-0.531302,-0.392534
200.625000,-0.105827,-0.529889,-0.388891
201.093750,-0.109985,-0.528498,-0.385277
201.562500,-0.114447,-0.527132,-0.381696
202.031250,-0.119221,-0.525790,-0.378148
202.500000,-0.124312,-0.524474,-0.374636
202.968750,-0.129727,-0.523184,-0.371163
203.437500,-0.135468,-0.521921,-0.367730
203.906250,-0.141540,-0.520686,-0.364340
204.375000,-0.147944,-0.519479,-0.360995
204.843750,-0.154680,-0.518303,-0.357698
205.312500,-0.161748,-0.517156,-0.354450
205.781250,-0.169145,-0.516041,-0.351254
206.250000,-0.176867,-0.514957,-0.348112
206.718750,-0.184910,-0.513906,-0.345026
207.187500,-0.193267,-0.512888,-0.342000
207.656250,-0.201930,-0.511904,-0.339033
